Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
2023-01-01,4.2,2.2,3.2,2.8,0,,26,38
2023-01-02,5.1,1.9,3.5,0,0,,30,31
2023-01-03,4,0.4,2.2,4,0,,,
2023-01-04,3.7,2.1,2.9,20.8,0,,7,35
2023-01-05,4.2,2.3,3.3,1.2,0,,22,34
2023-01-06,4.2,1.5,2.9,0.2,0,,27,35
2023-01-07,2.1,-5,-1.5,0,0,,34,36
2023-01-08,-2.2,-5.9,-4.1,0,0,,,
2023-01-09,1.2,-2.8,-0.8,0,0,,28,45
2023-01-10,0.8,-2.4,-0.8,0,0,,,
2023-01-11,1.4,-5.1,-1.9,0,0.2,,9,32
2023-01-12,3.6,-0.5,1.6,3.4,2.8,1,36,53
2023-01-13,-0.5,-9.4,-5,0,4.6,6,35,60
2023-01-14,-3.2,-10.6,-6.9,0,0,6,33,38
2023-01-15,-1.4,-11,-6.2,0,0,2,,
2023-01-16,1.8,-7.4,-2.8,0,0,1,,
2023-01-17,4.4,0.2,2.3,3.6,0.2,0,28,39
2023-01-18,4.9,1.4,3.2,0.2,0,,28,39
2023-01-19,3.3,1,2.2,3,0.2,,10,58
2023-01-20,2.6,-1.5,0.6,1.4,0,,30,42
2023-01-21,0.2,-2,-0.9,0,0,,22,31
2023-01-22,1.3,-2.8,-0.8,0,2.8,2,,
2023-01-23,2,-3.2,-0.6,0,0,2,24,53
2023-01-24,3.2,-2.2,0.5,0,0.2,0,26,51
2023-01-25,1.4,-2.1,-0.4,1.2,13.8,0,11,59
2023-01-26,1.4,-3.8,-1.2,0,1.2,9,27,54
2023-01-27,0.4,-2.9,-1.3,0,1.2,9,19,53
2023-01-28,2.1,-2.8,-0.4,0,0.4,10,30,53
2023-01-29,0.3,-7.5,-3.6,0,8.4,12,33,47
2023-01-30,-2.4,-10.2,-6.3,0,0.2,18,29,41
2023-01-31,-5.9,-14,-10,0,0,17,29,37
